"","NGenes","Direction","PValue","FDR"
"PID_RXR_VDR_PATHWAY",23,"Up",0.0508708867914502,0.999827083089274
"WONG_IFNA2_RESISTANCE_UP",7,"Up",0.0513657609059937,0.999827083089274
"BUSA_SAM68_TARGETS_UP",6,"Up",0.0535095390833232,0.999827083089274
"GHO_ATF5_TARGETS_UP",5,"Up",0.0537335459841467,0.999827083089274
"BIOCARTA_BIOPEPTIDES_PATHWAY",39,"Down",0.0539506004040246,0.999827083089274
"MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_13",1,"Up",0.0547177270909018,0.999827083089274
"MATZUK_OVULATION",9,"Up",0.0548535459734388,0.999827083089274
"MATZUK_SPERMATID_DIFFERENTIATION",19,"Down",0.055476420512342,0.999827083089274
"MCCABE_HOXC6_TARGETS_DN",8,"Down",0.0559920201968073,0.999827083089274
"KIM_ALL_DISORDERS_DURATION_CORR_UP",3,"Up",0.0560424842169443,0.999827083089274
"MAYBURD_RESPONSE_TO_L663536_UP",10,"Up",0.0565593246885582,0.999827083089274
"MALIK_REPRESSED_BY_ESTROGEN",9,"Up",0.0573440902801078,0.999827083089274
"REACTOME_INSULIN_RECEPTOR_SIGNALLING_CASCADE",54,"Down",0.0579393047177181,0.999827083089274
"PID_TOLL_ENDOGENOUS_PATHWAY",21,"Up",0.0580222744870672,0.999827083089274
"BIOCARTA_SPRY_PATHWAY",15,"Down",0.0585082639424093,0.999827083089274
"MCBRYAN_TERMINAL_END_BUD_UP",11,"Up",0.0586867058247916,0.999827083089274
"HOFMANN_MYELODYSPLASTIC_SYNDROM_LOW_RISK_UP",16,"Up",0.0586895523190393,0.999827083089274
"REACTOME_BETA_DEFENSINS",6,"Down",0.0626253839361812,0.999827083089274
"PETRETTO_HEART_MASS_QTL_CIS_DN",12,"Down",0.0631324710888885,0.999827083089274
"DEMAGALHAES_AGING_UP",36,"Up",0.0632819776301812,0.999827083089274
"BARIS_THYROID_CANCER_UP",12,"Up",0.0646398331698731,0.999827083089274
"SESTO_RESPONSE_TO_UV_C4",12,"Down",0.0647265411514606,0.999827083089274
"PIEPOLI_LGI1_TARGETS_UP",12,"Up",0.0647482985763343,0.999827083089274
"REACTOME_INSULIN_SYNTHESIS_AND_PROCESSING",11,"Down",0.0648031115441745,0.999827083089274
"REACTOME_SIGNALING_BY_FGFR_MUTANTS",33,"Down",0.0654180339618299,0.999827083089274
"WONG_ENDOMETRIAL_CANCER_LATE",11,"Up",0.0660040888569484,0.999827083089274
"REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_DAI",14,"Up",0.0661685866278613,0.999827083089274
"LIANG_HEMATOPOIESIS_STEM_CELL_NUMBER_LARGE_VS_TINY_DN",26,"Down",0.0672909271673458,0.999827083089274
"BIOCARTA_EPHA4_PATHWAY",7,"Down",0.0672932532481832,0.999827083089274
"TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_SUSTAINED_IN_MONOCYTE_DN",6,"Up",0.0683200556618274,0.999827083089274
"TERAMOTO_OPN_TARGETS_CLUSTER_6",13,"Up",0.070003470998818,0.999827083089274
"REACTOME_ACTIVATION_OF_GENES_BY_ATF4",11,"Up",0.0709906628851677,0.999827083089274
"IM_SREBF1A_TARGETS",2,"Up",0.0714477407831026,0.999827083089274
"CHEOK_RESPONSE_TO_HD_MTX_UP",12,"Up",0.0717376116417111,0.999827083089274
"MANTOVANI_NFKB_TARGETS_UP",22,"Up",0.0718856494543342,0.999827083089274
"OHM_EMBRYONIC_CARCINOMA_DN",6,"Up",0.0730993541685217,0.999827083089274
"CHIARADONNA_NEOPLASTIC_TRANSFORMATION_KRAS_CDC25_UP",42,"Down",0.0734005420576232,0.999827083089274
"REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH",57,"Down",0.0740633547945514,0.999827083089274
"BIOCARTA_IL22BP_PATHWAY",12,"Down",0.074242513534327,0.999827083089274
"BIOCARTA_PTDINS_PATHWAY",17,"Up",0.0744067819299122,0.999827083089274
"WANG_METASTASIS_OF_BREAST_CANCER_ESR1_UP",7,"Down",0.0744980207837945,0.999827083089274
"HOLLEMAN_VINCRISTINE_RESISTANCE_ALL_DN",8,"Up",0.0748196164062103,0.999827083089274
"KYNG_ENVIRONMENTAL_STRESS_RESPONSE_NOT_BY_UV_IN_WS",9,"Down",0.0760112006059229,0.999827083089274
"MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_1",2,"Down",0.0761618695884132,0.999827083089274
"BIOCARTA_ACE2_PATHWAY",11,"Down",0.0776516704138241,0.999827083089274
"LEE_INTRATHYMIC_T_PROGENITOR",11,"Up",0.0777671447987787,0.999827083089274
"WANG_RESPONSE_TO_PACLITAXEL_VIA_MAPK8_DN",3,"Up",0.0778418021015207,0.999827083089274
"TOMIDA_METASTASIS_DN",13,"Up",0.0784474364158438,0.999827083089274
"BIOCARTA_CBL_PATHWAY",10,"Down",0.0784708668669562,0.999827083089274
"BIOCARTA_SALMONELLA_PATHWAY",4,"Down",0.0791724560462896,0.999827083089274
"KONG_E2F1_TARGETS",6,"Down",0.0801362021303732,0.999827083089274
"VERNELL_RETINOBLASTOMA_PATHWAY_DN",4,"Down",0.080652446332838,0.999827083089274
"WESTON_VEGFA_TARGETS_12HR",29,"Up",0.0817480396388699,0.999827083089274
"BIOCARTA_ASBCELL_PATHWAY",10,"Down",0.0819619618543758,0.999827083089274
"SPIELMAN_LYMPHOBLAST_EUROPEAN_VS_ASIAN_2FC_UP",8,"Down",0.0829686250286514,0.999827083089274
"REACTOME_DEADENYLATION_OF_MRNA",5,"Down",0.0843055135003924,0.999827083089274
"WU_APOPTOSIS_BY_CDKN1A_NOT_VIA_TP53",6,"Up",0.0855226322025033,0.999827083089274
"POS_RESPONSE_TO_HISTAMINE_DN",4,"Up",0.0857798621068598,0.999827083089274
"REACTOME_PEROXISOMAL_LIPID_METABOLISM",11,"Up",0.0859711470343463,0.999827083089274
"BIOCARTA_RAB_PATHWAY",8,"Down",0.085982259390833,0.999827083089274
"SUMI_HNF4A_TARGETS",9,"Up",0.0869113262163018,0.999827083089274
"REACTOME_ALPHA_LINOLENIC_ACID_ALA_METABOLISM",5,"Up",0.0875583767151045,0.999827083089274
"REACTOME_PHOSPHOLIPASE_C_MEDIATED_CASCADE",42,"Down",0.0883290647639331,0.999827083089274
"NIKOLSKY_BREAST_CANCER_12Q13_Q21_AMPLICON",13,"Up",0.0883776167326765,0.999827083089274
"BIOCARTA_CD40_PATHWAY",13,"Up",0.0896119382621171,0.999827083089274
"MOTAMED_RESPONSE_TO_ANDROGEN_UP",3,"Up",0.090263832974651,0.999827083089274
"TURJANSKI_MAPK14_TARGETS",10,"Down",0.090395993209524,0.999827083089274
"ROSS_AML_WITH_AML1_ETO_FUSION",32,"Up",0.0905855485750722,0.999827083089274
"REACTOME_SHC1_EVENTS_IN_EGFR_SIGNALING",13,"Down",0.0914649821582614,0.999827083089274
"BIOCARTA_AT1R_PATHWAY",31,"Down",0.0916557116606814,0.999827083089274
"PENG_RAPAMYCIN_RESPONSE_DN",118,"Up",0.0926029114061143,0.999827083089274
"HOFMANN_MYELODYSPLASTIC_SYNDROM_HIGH_RISK_UP",7,"Up",0.093194828673951,0.999827083089274
"PLASARI_TGFB1_TARGETS_1HR_DN",4,"Down",0.0934210423782569,0.999827083089274
"BIOCARTA_SPPA_PATHWAY",20,"Down",0.0936527922698474,0.999827083089274
"REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION",8,"Down",0.0936646595989444,0.999827083089274
"REACTOME_SIGNALING_BY_FGFR1_MUTANTS",21,"Down",0.0950543017372191,0.999827083089274
"REACTOME_CREB_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_RAS",21,"Down",0.0951848312885611,0.999827083089274
"BARRIER_COLON_CANCER_RECURRENCE_UP",12,"Up",0.0952497927492752,0.999827083089274
"MARTINEZ_RESPONSE_TO_TRABECTEDIN_UP",43,"Up",0.0959727611244138,0.999827083089274
"MOOTHA_PYR",4,"Down",0.0968316235785525,0.999827083089274
"MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_5",1,"Down",0.0974377774749169,0.999827083089274
"REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES",35,"Down",0.0980474306324054,0.999827083089274
"REACTOME_ION_CHANNEL_TRANSPORT",31,"Up",0.0985800903191131,0.999827083089274
"REACTOME_ACTIVATION_OF_RAC",9,"Down",0.0986932890259517,0.999827083089274
"INGA_TP53_TARGETS",11,"Down",0.0987884865980801,0.999827083089274
"GERHOLD_RESPONSE_TO_TZD_UP",5,"Down",0.0997589261080178,0.999827083089274
"SHIRAISHI_PLZF_TARGETS_UP",4,"Up",0.100191937685871,0.999827083089274
"REACTOME_SIGNALING_BY_INSULIN_RECEPTOR",62,"Down",0.101547546821959,0.999827083089274
"MEISSNER_NPC_ICP_WITH_H3K4ME3",4,"Down",0.102031779574204,0.999827083089274
"TESAR_ALK_TARGETS_HUMAN_ES_5D_UP",5,"Down",0.102244209178781,0.999827083089274
"KEGG_RNA_POLYMERASE",8,"Up",0.104445121893077,0.999827083089274
"DACOSTA_LOW_DOSE_UV_RESPONSE_VIA_ERCC3_XPCS_DN",7,"Down",0.10475011495044,0.999827083089274
"REACTOME_ELEVATION_OF_CYTOSOLIC_CA2_LEVELS",7,"Up",0.104805927994808,0.999827083089274
"SEMBA_FHIT_TARGETS_UP",7,"Up",0.105477128876238,0.999827083089274
"SASSON_FSH_RESPONSE",9,"Up",0.105711629024095,0.999827083089274
"STONER_ESOPHAGEAL_CARCINOGENESIS_DN",3,"Down",0.107148866749115,0.999827083089274
"PID_RHOA_REG_PATHWAY",14,"Up",0.107185439067332,0.999827083089274
"BIOCARTA_IL10_PATHWAY",15,"Down",0.107219410505902,0.999827083089274
"BIOCARTA_INTRINSIC_PATHWAY",18,"Down",0.108209967871061,0.999827083089274
"MACLACHLAN_BRCA1_TARGETS_UP",19,"Down",0.108485948077456,0.999827083089274
"NIKOLSKY_BREAST_CANCER_5P15_AMPLICON",7,"Down",0.109081331296123,0.999827083089274
"SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES",27,"Up",0.110558617237904,0.999827083089274
"LOPES_METHYLATED_IN_COLON_CANCER_DN",26,"Up",0.110738486812399,0.999827083089274
"LI_WILMS_TUMOR_ANAPLASTIC_DN",4,"Down",0.110848013713174,0.999827083089274
"PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_3",7,"Up",0.111213118562507,0.999827083089274
"TRAYNOR_RETT_SYNDROM_UP",16,"Down",0.11124425260642,0.999827083089274
"RAFFEL_VEGFA_TARGETS_UP",9,"Down",0.111318423585903,0.999827083089274
"ZEILSTRA_CD44_TARGETS_DN",6,"Up",0.111429433090067,0.999827083089274
"STAEGE_EWING_FAMILY_TUMOR",16,"Up",0.111800953906033,0.999827083089274
"MA_PITUITARY_FETAL_VS_ADULT_DN",9,"Down",0.111895635296733,0.999827083089274
"CHEOK_RESPONSE_TO_MERCAPTOPURINE_AND_LD_MTX_UP",3,"Up",0.11231481623854,0.999827083089274
"KEGG_HOMOLOGOUS_RECOMBINATION",16,"Down",0.112375846308022,0.999827083089274
"REACTOME_DEADENYLATION_DEPENDENT_MRNA_DECAY",9,"Down",0.112381055142802,0.999827083089274
"TURJANSKI_MAPK7_TARGETS",8,"Down",0.113392027337138,0.999827083089274
"VALK_AML_CLUSTER_4",13,"Down",0.113688190754062,0.999827083089274
"KONDO_COLON_CANCER_HCP_WITH_H3K27ME3",1,"Up",0.113792337226025,0.999827083089274
"REACTOME_CGMP_EFFECTS",11,"Down",0.114787862690851,0.999827083089274
"GROSS_HYPOXIA_VIA_ELK3_ONLY_DN",27,"Up",0.115243395722633,0.999827083089274
"REACTOME_REGULATION_OF_KIT_SIGNALING",15,"Down",0.115970613931837,0.999827083089274
"KYNG_NORMAL_AGING_UP",8,"Up",0.116191507669771,0.999827083089274
"PID_INTEGRIN_CS_PATHWAY",18,"Down",0.11626951337764,0.999827083089274
"KYNG_WERNER_SYNDROM_UP",9,"Up",0.116315034021259,0.999827083089274
"REACTOME_PYRIMIDINE_CATABOLISM",2,"Down",0.116909305692675,0.999827083089274
"HU_ANGIOGENESIS_UP",10,"Down",0.11782862433759,0.999827083089274
"MATTHEWS_SKIN_CARCINOGENESIS_VIA_JUN",7,"Up",0.117904192335053,0.999827083089274
"NOUSHMEHR_GBM_GERMLINE_MUTATED",4,"Down",0.11854308928313,0.999827083089274
"DAVIES_MULTIPLE_MYELOMA_VS_MGUS_UP",8,"Up",0.118625844105744,0.999827083089274
"KEGG_MELANOMA",58,"Down",0.118872879594659,0.999827083089274
"BIOCARTA_AMI_PATHWAY",16,"Down",0.119273570681499,0.999827083089274
"LIU_IL13_MEMORY_MODEL_DN",4,"Up",0.119283259325625,0.999827083089274
"REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR",5,"Up",0.119609497613454,0.999827083089274
"MCCOLLUM_GELDANAMYCIN_RESISTANCE_DN",4,"Down",0.11970894803332,0.999827083089274
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES",12,"Up",0.120989079387354,0.999827083089274
"REACTOME_HOMOLOGOUS_RECOMBINATION_REPAIR_OF_REPLICATION_INDEPENDENT_DOUBLE_STRAND_BREAKS",12,"Down",0.12105538465842,0.999827083089274
"REACTOME_ENDOSOMAL_SORTING_COMPLEX_REQUIRED_FOR_TRANSPORT_ESCRT",6,"Down",0.121465948659251,0.999827083089274
"LIM_MAMMARY_LUMINAL_PROGENITOR_DN",5,"Up",0.121573186337711,0.999827083089274
"VETTER_TARGETS_OF_PRKCA_AND_ETS1_DN",6,"Up",0.121752392845775,0.999827083089274
"MORI_EMU_MYC_LYMPHOMA_BY_ONSET_TIME_DN",10,"Up",0.121812784654953,0.999827083089274
"GUTIERREZ_WALDENSTROEMS_MACROGLOBULINEMIA_1_DN",6,"Up",0.122003466081419,0.999827083089274
"REACTOME_POST_NMDA_RECEPTOR_ACTIVATION_EVENTS",24,"Down",0.122087974003884,0.999827083089274
"REACTOME_IRAK2_MEDIATED_ACTIVATION_OF_TAK1_COMPLEX_UPON_TLR7_8_OR_9_STIMULATION",2,"Up",0.122190106355069,0.999827083089274
"PID_IL12_STAT4_PATHWAY",29,"Down",0.122456746527753,0.999827083089274
"REACTOME_TRAF6_MEDIATED_INDUCTION_OF_TAK1_COMPLEX",5,"Up",0.122472352724833,0.999827083089274
"SETLUR_PROSTATE_CANCER_TMPRSS2_ERG_FUSION_DN",11,"Down",0.122934310480135,0.999827083089274
"YORDY_RECIPROCAL_REGULATION_BY_ETS1_AND_SP100_DN",40,"Down",0.123015333902654,0.999827083089274
"MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_3",4,"Up",0.123057909478289,0.999827083089274
"DER_IFN_ALPHA_RESPONSE_UP",51,"Down",0.123194395233938,0.999827083089274
"BIOCARTA_CDK5_PATHWAY",10,"Down",0.123559579009408,0.999827083089274
"TESAR_ALK_TARGETS_EPISC_3D_UP",7,"Down",0.123600925230534,0.999827083089274
"GUILLAUMOND_KLF10_TARGETS_DN",13,"Down",0.124245748275355,0.999827083089274
"PID_S1P_S1P2_PATHWAY",24,"Down",0.126941139913938,0.999827083089274
"PID_ERBB1_INTERNALIZATION_PATHWAY",26,"Down",0.126986302177303,0.999827083089274
"LE_SKI_TARGETS_DN",6,"Up",0.127171572243585,0.999827083089274
"HERNANDEZ_ABERRANT_MITOSIS_BY_DOCETACEL_4NM_DN",5,"Up",0.127586398573621,0.999827083089274
"GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_LIGHTYELLOW_DN",3,"Down",0.127853923537245,0.999827083089274
"REACTOME_HYALURONAN_METABOLISM",11,"Down",0.128526192242269,0.999827083089274
"KEGG_BASE_EXCISION_REPAIR",19,"Down",0.129099360453622,0.999827083089274
"WESTON_VEGFA_TARGETS_6HR",52,"Up",0.129557990164018,0.999827083089274
"BIOCARTA_TCRA_PATHWAY",10,"Down",0.129745467734554,0.999827083089274
"BIOCARTA_IL3_PATHWAY",15,"Down",0.13012959191601,0.999827083089274
"PID_THROMBIN_PAR4_PATHWAY",15,"Down",0.130317887958286,0.999827083089274
"RADAEVA_RESPONSE_TO_IFNA1_UP",44,"Up",0.130435922615547,0.999827083089274
"SUZUKI_RESPONSE_TO_TSA_AND_DECITABINE_1B",12,"Up",0.13071082902582,0.999827083089274
"HEIDENBLAD_AMPLICON_12P11_12_DN",9,"Up",0.130755373485359,0.999827083089274
"KAPOSI_LIVER_CANCER_MET_UP",12,"Down",0.130789027286262,0.999827083089274
"WEBER_METHYLATED_LCP_IN_SPERM_UP",4,"Up",0.130815531380138,0.999827083089274
"BIOCARTA_ERK5_PATHWAY",16,"Down",0.131837536327651,0.999827083089274
"MOOTHA_ROS",4,"Up",0.132250999273764,0.999827083089274
"SASAI_TARGETS_OF_CXCR6_AND_PTCH1_DN",7,"Down",0.132592472934599,0.999827083089274
"PRAMOONJAGO_SOX4_TARGETS_DN",25,"Down",0.13260036458638,0.999827083089274
"BALDWIN_PRKCI_TARGETS_UP",17,"Up",0.133087410570889,0.999827083089274
"BIOCARTA_IL2RB_PATHWAY",33,"Down",0.133129345022987,0.999827083089274
"REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION",6,"Down",0.133300053731008,0.999827083089274
"REACTOME_DOUBLE_STRAND_BREAK_REPAIR",15,"Down",0.13348784381882,0.999827083089274
"CLIMENT_BREAST_CANCER_COPY_NUMBER_DN",3,"Down",0.134770870128576,0.999827083089274
"SCIAN_CELL_CYCLE_TARGETS_OF_TP53_AND_TP73_DN",12,"Up",0.134829014115341,0.999827083089274
"REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2_",68,"Down",0.13501138876407,0.999827083089274
"BIOCARTA_CYTOKINE_PATHWAY",20,"Down",0.13517096632838,0.999827083089274
"SMID_BREAST_CANCER_RELAPSE_IN_PLEURA_UP",3,"Down",0.136343115943035,0.999827083089274
"REACTOME_NA_CL_DEPENDENT_NEUROTRANSMITTER_TRANSPORTERS",7,"Down",0.13684839064919,0.999827083089274
"MATHEW_FANCONI_ANEMIA_GENES",3,"Down",0.136940122814515,0.999827083089274
"HOLLEMAN_VINCRISTINE_RESISTANCE_B_ALL_DN",7,"Up",0.137753432646205,0.999827083089274
"SCIAN_CELL_CYCLE_TARGETS_OF_TP53_AND_TP73_UP",6,"Down",0.138537429650342,0.999827083089274
"ZHANG_INTERFERON_RESPONSE",11,"Down",0.13858038234583,0.999827083089274
"KYNG_ENVIRONMENTAL_STRESS_RESPONSE_NOT_BY_GAMMA_IN_WS",21,"Down",0.138786199872122,0.999827083089274
"REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE",23,"Down",0.139187286054346,0.999827083089274
"ROZANOV_MMP14_CORRELATED",8,"Up",0.139958919277572,0.999827083089274
"MARSON_FOXP3_TARGETS_UP",42,"Up",0.141204731313133,0.999827083089274
"REACTOME_SOS_MEDIATED_SIGNALLING",11,"Down",0.141956037930004,0.999827083089274
"CASTELLANO_HRAS_AND_NRAS_TARGETS_UP",5,"Up",0.142339036685398,0.999827083089274
"BENPORATH_NOS_TARGETS",80,"Down",0.14267223568672,0.999827083089274
"BIOCARTA_MAL_PATHWAY",18,"Down",0.142932070188343,0.999827083089274
"GAVIN_IL2_RESPONSIVE_FOXP3_TARGETS_DN",2,"Down",0.143039223832667,0.999827083089274
"REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION",39,"Up",0.143368136856061,0.999827083089274
"REACTOME_AMINO_ACID_SYNTHESIS_AND_INTERCONVERSION_TRANSAMINATION",7,"Up",0.144101996238172,0.999827083089274
"PID_TCPTP_PATHWAY",37,"Down",0.144558114162776,0.999827083089274
"SPIRA_SMOKERS_LUNG_CANCER_UP",25,"Down",0.145201449148223,0.999827083089274
"WANG_RESPONSE_TO_ANDROGEN_UP",21,"Up",0.145366323088686,0.999827083089274
"MAGRANGEAS_MULTIPLE_MYELOMA_IGLL_VS_IGLK_UP",27,"Up",0.14552683574282,0.999827083089274
"KIM_TIAL1_TARGETS",12,"Down",0.14596070057151,0.999827083089274
"IWANAGA_E2F1_TARGETS_NOT_INDUCED_BY_SERUM",3,"Up",0.146186191178241,0.999827083089274
"KEGG_ENDOMETRIAL_CANCER",44,"Down",0.146846163406801,0.999827083089274
"GALI_TP53_TARGETS_APOPTOTIC_DN",4,"Down",0.147275387427604,0.999827083089274
"STAMBOLSKY_RESPONSE_TO_VITAMIN_D3_UP",34,"Down",0.147690450110898,0.999827083089274
"HENDRICKS_SMARCA4_TARGETS_DN",33,"Up",0.148786615186585,0.999827083089274
"LEE_AGING_CEREBELLUM_UP",65,"Up",0.149572941189896,0.999827083089274
"KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY",28,"Up",0.150000122881838,0.999827083089274
